transaction_id,items
331,"Power Bank, French Press, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Sticky Notes, USB-C Cable, Desk Lamp, Wireless Mouse"
332,"Screen Protector, Phone Case, Coffee Mug"
333,"French Press, Pen Set, Coffee Mug, Screen Protector, Phone Case, Notebook"
334,"Power Bank, Laptop Stand, Desk Organizer, USB-C Cable, Wireless Mouse"
335,"Power Bank, Pen Set, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp"
336,"Phone Case, Pen Set, Notebook, Screen Protector"
337,"Power Bank, French Press, Pen Set, Coffee Mug, Screen Protector, Phone Case, Bluetooth Speaker"
338,"Power Bank, Pen Set, Laptop Stand, Screen Protector, Notebook, Phone Case, USB-C Cable, Wireless Mouse"
339,"Power Bank, Screen Protector, Sticky Notes, Phone Case, USB-C Cable"
340,"Laptop Stand, Water Bottle, Screen Protector, Phone Case, Bluetooth Speaker, Wireless Mouse"
341,"Pen Set, Coffee Mug, Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp"
342,"Power Bank, Sticky Notes, Phone Case, USB-C Cable, Bluetooth Speaker"
343,"Power Bank, Laptop Stand, Desk Organizer, Notebook, Phone Case, Desk Lamp, Wireless Mouse"
344,"Power Bank, Cutting Board, French Press, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp"
345,"Desk Organizer, French Press, Coffee Mug"
346,"Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Kitchen Scale, Desk Lamp, Wireless Mouse"
347,"USB-C Cable, Pen Set, Notebook, Screen Protector"
348,"Power Bank, Coffee Mug, Laptop Stand, Desk Organizer, Notebook, USB-C Cable, Desk Lamp, Wireless Mouse"
349,"Pen Set, Screen Protector, Phone Case, Notebook, Bluetooth Speaker"
350,"Power Bank, Laptop Stand, Desk Organizer, Screen Protector, Phone Case, USB-C Cable"
351,"Desk Lamp, Screen Protector, Phone Case"
352,"USB-C Cable, Screen Protector, Wireless Mouse, Power Bank"
353,"Power Bank, French Press, Pen Set, Coffee Mug, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp"
354,"Screen Protector, Phone Case, Sticky Notes"
355,"Laptop Stand, Kitchen Scale, Screen Protector, Phone Case, Wireless Mouse"
356,"USB-C Cable, Desk Organizer, French Press, Power Bank"
357,"Screen Protector, Phone Case, Wireless Mouse"
358,"Laptop Stand, Water Bottle, Screen Protector, Phone Case, Sticky Notes, Wireless Mouse"
359,"Laptop Stand, Water Bottle, Screen Protector, Phone Case, Kitchen Scale, Wireless Mouse"
360,"Power Bank, Pen Set, Kitchen Scale, Phone Case, Notebook, Screen Protector"
361,"Power Bank, French Press, Coffee Mug, Phone Case, USB-C Cable, Wireless Mouse"
362,"Power Bank, Cutting Board, Coffee Mug, Screen Protector, Phone Case"
363,"Screen Protector, Phone Case"
364,"Cutting Board, Coffee Mug, Wireless Mouse, Laptop Stand"
365,"Bluetooth Speaker, Screen Protector, Phone Case, Sticky Notes"
366,"Desk Organizer, Bluetooth Speaker, Desk Lamp, Notebook"
367,"Power Bank, Cutting Board, Pen Set, Laptop Stand, Notebook, Sticky Notes, Phone Case, USB-C Cable, Wireless Mouse"
368,"Power Bank, French Press, Coffee Mug, Screen Protector, Phone Case, USB-C Cable, Wireless Mouse"
369,"Power Bank, Desk Organizer, Notebook, Phone Case, USB-C Cable, Desk Lamp"
370,"Water Bottle, Screen Protector, Phone Case"
371,"Coffee Mug, Desk Organizer, Water Bottle, Screen Protector, Notebook, Phone Case, Desk Lamp"
372,"Power Bank, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Sticky Notes, USB-C Cable, Desk Lamp, Wireless Mouse"
373,"Screen Protector, Power Bank"
374,"Pen Set, Screen Protector, Phone Case, Notebook, Desk Lamp, Wireless Mouse"
375,"USB-C Cable, Bluetooth Speaker, Wireless Mouse, Laptop Stand"
376,"USB-C Cable, Phone Case, Power Bank"
377,"Desk Organizer, Bluetooth Speaker, Screen Protector, Phone Case"
378,"Desk Lamp, Power Bank"
379,"Cutting Board, French Press, Coffee Mug"
380,"Laptop Stand, Screen Protector, Phone Case, Desk Lamp, Wireless Mouse"
381,"USB-C Cable, Sticky Notes, Wireless Mouse, Laptop Stand"
382,"Power Bank, French Press, Pen Set, Coffee Mug, Laptop Stand, Screen Protector, Notebook, Phone Case, USB-C Cable, Bluetooth Speaker, Wireless Mouse"
383,"Power Bank, Laptop Stand, Water Bottle, USB-C Cable, Wireless Mouse"
384,"Power Bank, Desk Organizer, Screen Protector, Phone Case, USB-C Cable"
385,"French Press, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Sticky Notes, Desk Lamp, Wireless Mouse"
386,"Power Bank, Cutting Board, Pen Set, Coffee Mug, Screen Protector, Phone Case, Notebook, USB-C Cable, Desk Lamp"
387,"USB-C Cable, Phone Case, Notebook"
388,"Cutting Board, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
389,"Power Bank, Laptop Stand, Sticky Notes, USB-C Cable, Wireless Mouse"
390,"French Press, Coffee Mug, Notebook, Bluetooth Speaker, Wireless Mouse"
391,"Power Bank, French Press, Pen Set, Coffee Mug, Notebook, Desk Lamp"
392,"Water Bottle, Pen Set"
393,"Power Bank, Pen Set, Water Bottle, Notebook, USB-C Cable, Desk Lamp"
394,"Power Bank, French Press, Pen Set, Coffee Mug, Notebook, USB-C Cable"
395,"Power Bank, Cutting Board, Desk Organizer, USB-C Cable, Bluetooth Speaker"
396,"Pen Set, Laptop Stand, Notebook, Phone Case, Desk Lamp, Wireless Mouse"
397,"Screen Protector, Wireless Mouse, Laptop Stand"
398,"USB-C Cable, Desk Organizer, Coffee Mug, Power Bank"
399,"Cutting Board, Laptop Stand, Desk Organizer, Kitchen Scale, Notebook, Desk Lamp, Wireless Mouse"
400,"Phone Case, Pen Set, Notebook, Screen Protector"
401,"Desk Organizer, Kitchen Scale, Pen Set, Notebook"
402,"French Press, Pen Set, Coffee Mug, Screen Protector, Phone Case, Notebook, Kitchen Scale"
403,"Power Bank, French Press, Coffee Mug, Sticky Notes, USB-C Cable, Bluetooth Speaker"
404,"Pen Set, Kitchen Scale, Phone Case, Notebook, Screen Protector, USB-C Cable"
405,"Sticky Notes, Screen Protector, Phone Case, Power Bank"
406,"Kitchen Scale, Power Bank"
407,"French Press, Coffee Mug, Desk Organizer, Screen Protector, Phone Case"
408,"Power Bank, French Press, Coffee Mug, Laptop Stand, Desk Organizer, Notebook, USB-C Cable, Desk Lamp, Wireless Mouse"
409,"French Press, Coffee Mug, Laptop Stand, Water Bottle, Wireless Mouse"
410,"French Press, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Notebook, Desk Lamp"
411,"Desk Lamp, Pen Set, Wireless Mouse, Laptop Stand"
412,"Cutting Board, French Press, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
413,"French Press, Pen Set, Coffee Mug, Water Bottle, Screen Protector, Phone Case, Notebook, Desk Lamp"
414,"Power Bank, Pen Set, Notebook, USB-C Cable, Wireless Mouse"
415,"Power Bank, Pen Set, Desk Organizer, Notebook, USB-C Cable"
416,"Pen Set, Laptop Stand, Screen Protector, Phone Case, Notebook"
417,"Laptop Stand, Screen Protector, Sticky Notes, Phone Case, Notebook, Wireless Mouse"
418,"USB-C Cable, Laptop Stand, Water Bottle, Power Bank"
419,"Power Bank, Desk Organizer, Notebook, USB-C Cable, Desk Lamp"
420,"Power Bank, French Press, Pen Set, Coffee Mug, Kitchen Scale, Notebook, Phone Case, USB-C Cable"
421,"USB-C Cable, Bluetooth Speaker, Phone Case"
422,"Power Bank, Laptop Stand, Desk Organizer, Water Bottle, Wireless Mouse"
423,"French Press, Pen Set, Coffee Mug, Screen Protector, Phone Case, Notebook"
424,"French Press, Kitchen Scale, Coffee Mug, Laptop Stand"
425,"Power Bank, Laptop Stand, USB-C Cable, Bluetooth Speaker, Wireless Mouse"
426,"Power Bank, Cutting Board, French Press, Coffee Mug, Laptop Stand, Water Bottle, Phone Case, USB-C Cable, Wireless Mouse"
427,"USB-C Cable, Water Bottle, Phone Case, Power Bank"
428,"Power Bank, Laptop Stand, Screen Protector, Phone Case, USB-C Cable, Wireless Mouse"
429,"French Press, Screen Protector, Phone Case"
430,"Kitchen Scale, Screen Protector, Phone Case, Sticky Notes"
431,"Power Bank, Pen Set, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp"
432,"USB-C Cable, Water Bottle, Power Bank"
433,"French Press, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp, Wireless Mouse"
434,"French Press, Coffee Mug, Desk Organizer, Screen Protector, Notebook, Desk Lamp"
435,"Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp"
436,"Screen Protector, Phone Case, Sticky Notes"
437,"Power Bank, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Bluetooth Speaker, Desk Lamp, Wireless Mouse"
438,"Screen Protector, Phone Case, Wireless Mouse, Coffee Mug"
439,"French Press, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Desk Lamp, Wireless Mouse"
440,"Power Bank, Laptop Stand, Screen Protector, Phone Case, Kitchen Scale, USB-C Cable, Wireless Mouse"
441,"French Press, Pen Set, Screen Protector, Notebook, Desk Lamp"
442,"Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Bluetooth Speaker, Desk Lamp, Wireless Mouse"
443,"Pen Set, Wireless Mouse, Laptop Stand"
444,"Desk Organizer, Screen Protector, Phone Case, Wireless Mouse"
445,"Water Bottle, Bluetooth Speaker, French Press, Coffee Mug"
446,"Power Bank, French Press, Desk Organizer, Notebook, USB-C Cable, Desk Lamp"
447,"Cutting Board, French Press, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
448,"Power Bank, French Press, Water Bottle, Notebook, USB-C Cable"
449,"Water Bottle, Kitchen Scale"
450,"Power Bank, French Press, Coffee Mug, Desk Organizer, Screen Protector, Notebook, Phone Case, Bluetooth Speaker, Desk Lamp"
451,"Screen Protector, Phone Case, Wireless Mouse, Laptop Stand"
452,"Pen Set, Screen Protector, Phone Case, Notebook, USB-C Cable"
453,"Pen Set, Wireless Mouse, Sticky Notes"
454,"Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, USB-C Cable, Desk Lamp, Wireless Mouse"
455,"Power Bank, Pen Set, Screen Protector, Phone Case, Notebook"
456,"French Press, Pen Set, Coffee Mug, Water Bottle, Notebook"
457,"Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Bluetooth Speaker, Desk Lamp, Wireless Mouse"
458,"French Press, Laptop Stand, Notebook, Sticky Notes, Wireless Mouse"
459,"Bluetooth Speaker, Pen Set, Wireless Mouse"
460,"Pen Set, Laptop Stand, Water Bottle, Notebook, Desk Lamp, Wireless Mouse"
461,"Pen Set, Notebook, Screen Protector, Laptop Stand"
462,"Pen Set, Notebook"
463,"Power Bank, French Press, Pen Set, Coffee Mug, Water Bottle, Notebook, Phone Case, USB-C Cable, Bluetooth Speaker"
464,"Power Bank, Pen Set, Laptop Stand, Desk Organizer, Notebook, USB-C Cable, Desk Lamp, Wireless Mouse"
465,"Desk Lamp, Screen Protector, Phone Case"
466,"Power Bank, Pen Set, Laptop Stand, Water Bottle, Notebook, USB-C Cable, Desk Lamp, Wireless Mouse"
467,"French Press, Wireless Mouse, Coffee Mug, Power Bank"
468,"Power Bank, Cutting Board, Pen Set, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp"
469,"French Press, Screen Protector, Sticky Notes, Coffee Mug"
470,"Desk Organizer, Notebook, Power Bank"
471,"Cutting Board, French Press, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Notebook, Desk Lamp, Wireless Mouse"
472,"Pen Set, Laptop Stand, Screen Protector, Phone Case, Bluetooth Speaker, Wireless Mouse"
473,"Desk Organizer, Screen Protector, Phone Case"
474,"Pen Set, Laptop Stand, Kitchen Scale, Notebook, Wireless Mouse"
475,"Screen Protector, Phone Case, Sticky Notes"
476,"Power Bank, Pen Set, Laptop Stand, Water Bottle, Notebook, Sticky Notes, USB-C Cable, Wireless Mouse"
477,"French Press, Pen Set, Screen Protector, Phone Case, Notebook"
478,"French Press, Pen Set, Coffee Mug, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp, Wireless Mouse"
479,"Pen Set, Coffee Mug, Kitchen Scale, Phone Case, Notebook, Screen Protector"
480,"Power Bank, Cutting Board, Pen Set, Laptop Stand, Water Bottle, Screen Protector, Notebook, Phone Case, USB-C Cable, Wireless Mouse"
481,"Desk Organizer, Screen Protector, Notebook, Sticky Notes, Desk Lamp"
482,"Water Bottle, Kitchen Scale"
